Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
226,Michael Keane\Michael-Keane,eng ENG,DF,Everton,28-062,1993,25.2,3,13,5,38.5,0.52,0.20,0.23,0.60,10.8,0,0,0,1.2,1.2,0.09,+1.8,+1.8,Matches
227,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,29-004,1992,1.3,0,6,0,0.0,4.54,0.00,0.00,,18.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
230,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,23-364,1997,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
231,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,19-253,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
233,Joshua King\Joshua-King,no NOR,MFFW,Everton,29-058,1992,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
234,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,30-274,1990,23.2,3,27,7,25.9,1.17,0.30,0.04,0.14,22.7,0,2,2,2.9,1.3,0.05,+0.1,-0.3,Matches
235,Robin Koch\Robin-Koch,de GER,DF,Leeds United,24-240,1996,10.1,0,7,2,28.6,0.69,0.20,0.00,0.00,9.1,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
237,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,23-142,1997,24.5,2,14,5,35.7,0.57,0.20,0.14,0.40,8.9,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
240,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,26-224,1994,9.6,0,4,2,50.0,0.41,0.21,0.00,0.00,26.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
241,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,25-197,1995,6.1,0,8,2,25.0,1.32,0.33,0.00,0.00,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
242,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29-290,1991,16.0,9,29,20,69.0,1.81,1.25,0.24,0.35,13.0,2,2,2,6.8,5.3,0.18,+2.2,+1.7,Matches
243,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,32-308,1988,11.2,1,14,2,14.3,1.25,0.18,0.07,0.50,16.2,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
244,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,29-010,1992,6.0,0,16,6,37.5,2.65,0.99,0.00,0.00,20.3,4,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
245,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,20-165,2000,9.8,1,6,2,33.3,0.61,0.20,0.17,0.50,12.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
246,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,28-027,1993,4.2,1,10,3,30.0,2.37,0.71,0.10,0.33,17.1,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
