Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
307,Yerry Mina\Yerry-Mina,co COL,DF,Everton,26-172,1994,18.2,2,13,4,30.8,0.71,0.22,0.15,0.50,10.9,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Matches
308,Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Liverpool,26-057,1995,3.3,1,7,3,42.9,2.15,0.92,0.14,0.33,16.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
309,Takumi Minamino\Takumi-Minamino,jp JPN,MF,Southampton,26-057,1995,3.8,2,6,2,33.3,1.56,0.52,0.33,1.00,17.1,0,0,0,0.6,0.6,0.10,+1.4,+1.4,Matches
310,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,28-001,1993,25.5,2,17,7,41.2,0.67,0.27,0.12,0.29,8.9,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches
311,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,21-194,1999,13.0,0,1,1,100.0,0.08,0.08,0.00,0.00,12.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
312,Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,26-179,1994,12.0,2,43,11,25.6,3.59,0.92,0.02,0.09,14.4,1,1,2,5.1,3.6,0.08,-3.1,-2.6,Matches
313,Jakub Moder\Jakub-Moder,pl POL,MF,Brighton,21-341,1999,0.1,0,1,0,0.0,12.86,0.00,0.00,,33.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
314,Jayson Molumby\Jayson-Molumby,ie IRL,MF,Brighton,21-220,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
315,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,37-052,1984,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
316,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,22-063,1999,24.8,5,56,16,28.6,2.26,0.65,0.07,0.25,21.3,5,1,1,4.2,3.5,0.06,+0.8,+0.5,Matches
317,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,28-213,1992,10.3,3,14,6,42.9,1.37,0.59,0.21,0.50,14.8,0,0,0,1.9,1.9,0.13,+1.1,+1.1,Matches
318,Lys Mousset\Lys-Mousset,fr FRA,FWMF,Sheffield Utd,25-034,1996,2.6,0,3,2,66.7,1.14,0.76,0.00,0.00,17.2,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches
319,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,34-187,1986,21.6,1,10,2,20.0,0.46,0.09,0.10,0.50,23.8,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
320,Joel Mumbongo\Joel-Mumbongo,se SWE,FW,Burnley,22-064,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
321,Jacob Murphy\Jacob-Murphy,eng ENG,DFFW,Newcastle Utd,26-018,1995,8.8,1,19,5,26.3,2.15,0.57,0.05,0.20,24.6,5,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
322,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,28-331,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
323,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,27-054,1994,4.9,0,2,1,50.0,0.41,0.20,0.00,0.00,25.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
324,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MFDF,Leicester City,24-088,1996,14.6,1,9,1,11.1,0.62,0.07,0.11,1.00,19.8,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
325,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,24-076,1996,17.9,3,15,7,46.7,0.84,0.39,0.20,0.43,16.4,0,0,0,1.2,1.2,0.08,+1.8,+1.8,Matches
326,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,21-094,1999,0.8,0,1,0,0.0,1.27,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
327,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,21-005,2000,26.0,5,56,20,35.7,2.15,0.77,0.09,0.25,19.3,0,0,0,3.9,3.9,0.07,+1.1,+1.1,Matches
328,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,24-001,1997,22.3,5,49,12,24.5,2.20,0.54,0.04,0.17,25.7,8,3,3,4.7,2.4,0.05,+0.3,-0.4,Matches
329,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,21-288,1999,3.6,1,7,4,57.1,1.93,1.10,0.14,0.25,13.5,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
330,Niels Nkounkou\Niels-Nkounkou,fr FRA,DF,Everton,20-133,2000,0.8,0,1,0,0.0,1.32,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
331,Dan Nlundulu\Dan-Nlundulu,eng ENG,FW,Southampton,22-037,1999,1.2,0,1,0,0.0,0.85,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
332,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,33-310,1987,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
333,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,29-336,1991,15.1,0,6,0,0.0,0.40,0.00,0.00,,33.7,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
334,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,26-350,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
335,Dara O'Shea\Dara-OShea,ie IRL,DF,West Brom,22-010,1999,20.0,0,4,0,0.0,0.20,0.00,0.00,,11.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
336,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,20-251,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
337,Denis Odoi\Denis-Odoi,be BEL,DF,Fulham,32-291,1988,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,23.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
338,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,32-295,1988,22.7,2,9,3,33.3,0.40,0.13,0.22,0.67,8.1,0,0,0,1.0,1.0,0.11,+1.0,+1.0,Matches
339,Robin Olsen\Robin-Olsen,se SWE,GK,Everton,31-065,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
340,Josh Onomah\Josh-Onomah,eng ENG,MF,Fulham,23-321,1997,1.8,0,1,0,0.0,0.55,0.00,0.00,,11.4,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
341,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,25-330,1995,2.1,0,7,2,28.6,3.39,0.97,0.00,0.00,17.9,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
342,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,26-221,1994,10.1,0,3,2,66.7,0.30,0.20,0.00,0.00,18.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
343,Owen Otasowie\Owen-Otasowie,us USA,MF,Wolves,19-328,2001,1.3,0,2,0,0.0,1.54,0.00,0.00,,10.0,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
344,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,27-211,1993,2.4,0,5,1,20.0,2.05,0.41,0.00,0.00,24.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
345,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,26-223,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
346,Thomas Partey\Thomas-Partey,gh GHA,MF,Arsenal,27-274,1993,8.7,0,12,3,25.0,1.38,0.34,0.00,0.00,24.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
347,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,33-027,1988,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
348,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,24-136,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
349,Lee Peltier\Lee-Peltier,eng ENG,DF,West Brom,34-093,1986,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
350,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,25-289,1995,11.1,5,32,9,28.1,2.89,0.81,0.13,0.44,16.4,1,1,1,4.7,3.9,0.12,+0.3,+0.1,Matches
351,Matheus Pereira\Matheus-Pereira,br BRA,MFFW,West Brom,24-313,1996,20.8,5,37,13,35.1,1.78,0.62,0.08,0.23,21.5,6,2,2,3.8,2.2,0.06,+1.2,+0.8,Matches
352,Ricardo Pereira\Ricardo-Pereira,pt POR,DFFW,Leicester City,27-159,1993,7.6,0,6,4,66.7,0.79,0.53,0.00,0.00,20.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
353,Ayoze Pérez\Ayoze-Perez,es ESP,FWMF,Leicester City,27-234,1993,9.8,1,19,7,36.8,1.94,0.71,0.05,0.14,16.8,1,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches
354,Kalvin Phillips\Kalvin-Phillips,eng ENG,MF,Leeds United,25-102,1995,19.5,0,9,3,33.3,0.46,0.15,0.00,0.00,25.3,1,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
355,Matt Phillips\Matt-Phillips,sco SCO,MFDF,West Brom,30-001,1991,12.4,1,15,6,40.0,1.21,0.48,0.07,0.17,21.2,1,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
356,Nathaniel Phillips\Nathaniel-Phillips,eng ENG,DF,Liverpool,23-358,1997,8.2,0,4,1,25.0,0.49,0.12,0.00,0.00,11.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
357,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,27-007,1994,22.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
358,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,32-219,1988,12.7,0,4,3,75.0,0.31,0.24,0.00,0.00,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
359,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,25-144,1995,14.6,3,25,13,52.0,1.71,0.89,0.12,0.23,16.2,0,0,0,2.6,2.6,0.10,+0.4,+0.4,Matches
360,Paul Pogba\Paul-Pogba,fr FRA,MFFW,Manchester Utd,27-364,1993,15.0,3,20,10,50.0,1.33,0.67,0.15,0.30,16.2,0,0,0,1.3,1.3,0.07,+1.7,+1.7,Matches
361,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,28-329,1992,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
362,Dennis Praet\Dennis-Praet,be BEL,MFFW,Leicester City,26-304,1994,7.3,1,8,2,25.0,1.10,0.28,0.13,0.50,16.1,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
363,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,29-193,1991,2.2,0,4,2,50.0,1.83,0.91,0.00,0.00,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
364,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,22-177,1998,12.0,1,27,7,25.9,2.25,0.58,0.04,0.14,15.2,0,0,0,2.9,2.9,0.11,-1.9,-1.9,Matches
365,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22-304,1998,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
366,Jacob Ramsey\Jacob-Ramsey,eng ENG,MF,Aston Villa,19-290,2001,4.3,0,5,1,20.0,1.15,0.23,0.00,0.00,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
367,Kayne Ramsey\Kayne-Ramsey,eng ENG,DF,Southampton,20-155,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
368,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,33-306,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
369,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,23-134,1997,25.4,9,59,29,49.2,2.32,1.14,0.15,0.31,18.4,4,0,0,7.4,7.4,0.13,+1.6,+1.6,Matches
370,Tim Ream\Tim-Ream,us USA,DF,Fulham,33-160,1987,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
371,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,27-008,1994,11.7,1,23,7,30.4,1.96,0.60,0.04,0.14,17.3,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
372,Harrison Reed\Harrison-Reed,eng ENG,MF,Fulham,26-046,1995,20.9,0,10,4,40.0,0.48,0.19,0.00,0.00,25.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
373,Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Tottenham,24-088,1996,14.6,0,17,3,17.6,1.16,0.21,0.00,0.00,18.5,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
374,Bobby Reid\Bobby-Reid,jm JAM,FWDF,Fulham,28-040,1993,18.6,5,26,7,26.9,1.40,0.38,0.19,0.71,16.2,1,0,0,4.3,4.3,0.16,+0.7,+0.7,Matches
375,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,22-059,1999,27.0,1,21,5,23.8,0.78,0.19,0.00,0.00,19.4,2,1,1,2.0,1.2,0.06,-1.0,-1.2,Matches
376,Lewis Richardson\Lewis-Richardson,eng ENG,FW,Burnley,18-035,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
377,Richarlison\Richarlison,br BRA,FW,Everton,23-308,1997,22.0,6,54,21,38.9,2.45,0.95,0.09,0.24,15.0,0,1,1,7.9,7.2,0.13,-1.9,-2.2,Matches
378,Jaïro Riedewald\Jairo-Riedewald,nl NED,MF,Crystal Palace,24-186,1996,14.9,2,6,2,33.3,0.40,0.13,0.33,1.00,18.2,0,0,0,0.6,0.6,0.10,+1.4,+1.4,Matches
379,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,31-185,1989,6.1,0,5,1,20.0,0.82,0.16,0.00,0.00,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
380,Tyler Roberts\Tyler-Roberts,wal WAL,MFFW,Leeds United,22-061,1999,8.4,0,15,6,40.0,1.80,0.72,0.00,0.00,19.1,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
381,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,27-003,1994,27.9,1,15,4,26.7,0.54,0.14,0.07,0.25,16.4,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
382,Antonee Robinson\Antonee-Robinson,us USA,DF,Fulham,23-218,1997,19.0,0,7,2,28.6,0.37,0.11,0.00,0.00,17.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
383,Callum Robinson\Callum-Robinson,ie IRL,FWMF,West Brom,26-040,1995,13.2,2,20,7,35.0,1.52,0.53,0.10,0.29,21.9,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
384,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,27-194,1993,6.7,0,3,0,0.0,0.44,0.00,0.00,,9.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
385,Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FWMF,West Brom,31-297,1989,3.1,0,4,2,50.0,1.28,0.64,0.00,0.00,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
386,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,24-091,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
387,Joe Rodon\Joe-Rodon,wal WAL,DF,Tottenham,23-143,1997,4.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
388,Rodri\Rodri,es ESP,MF,Manchester City,24-265,1996,24.1,1,25,6,24.0,1.04,0.25,0.00,0.00,21.1,0,1,1,1.9,1.2,0.05,-0.9,-1.2,Matches
389,Rodrigo\Rodrigo,es ESP,MFFW,Leeds United,30-008,1991,11.8,3,37,12,32.4,3.13,1.02,0.08,0.25,15.3,1,0,0,3.8,3.8,0.10,-0.8,-0.8,Matches
390,James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,29-245,1991,14.9,5,27,15,55.6,1.81,1.00,0.19,0.33,20.2,3,0,0,2.6,2.6,0.10,+2.4,+2.4,Matches
391,Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,31-228,1989,12.6,1,23,7,30.4,1.83,0.56,0.04,0.14,18.7,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
392,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,29-171,1991,19.2,1,14,4,28.6,0.73,0.21,0.07,0.25,24.0,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
393,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,28-011,1993,13.0,0,10,5,50.0,0.77,0.38,0.00,0.00,19.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
394,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28-340,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
395,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28-340,1992,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
396,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24-002,1997,10.6,2,16,7,43.8,1.51,0.66,0.13,0.29,19.9,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
397,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,30-353,1990,18.7,3,20,8,40.0,1.07,0.43,0.15,0.38,11.7,1,0,0,2.3,2.3,0.12,+0.7,+0.7,Matches
398,Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,19-190,2001,21.7,5,53,18,34.0,2.44,0.83,0.09,0.28,15.2,1,0,0,6.1,6.1,0.12,-1.1,-1.1,Matches
399,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,31-029,1990,3.1,0,1,0,0.0,0.33,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
400,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,28-272,1992,25.0,17,77,31,40.3,3.08,1.24,0.14,0.35,16.1,1,6,6,14.1,9.6,0.12,+2.9,+1.4,Matches
401,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,21-331,1999,3.9,0,2,0,0.0,0.51,0.00,0.00,,14.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
402,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,24-275,1996,12.5,0,5,0,0.0,0.40,0.00,0.00,,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
403,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,23-116,1997,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
404,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Aston Villa,26-208,1994,1.8,0,1,0,0.0,0.55,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
405,Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,West Brom,29-132,1991,16.5,0,4,0,0.0,0.24,0.00,0.00,,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
406,Dane Scarlett\Dane-Scarlett,eng ENG,FW,Tottenham,16-355,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
408,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Crystal Palace,28-081,1992,11.4,2,13,6,46.2,1.14,0.53,0.15,0.33,12.0,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches
409,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,34-129,1986,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
411,Jamie Shackleton\Jamie-Shackleton,eng ENG,MFDF,Leeds United,21-157,1999,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
412,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MFFW,Liverpool,29-155,1991,5.8,0,11,0,0.0,1.90,0.00,0.00,,21.8,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
413,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,35-037,1986,7.2,3,7,3,42.9,0.98,0.42,0.14,0.33,15.3,0,2,2,2.7,1.2,0.17,+0.3,-0.2,Matches
414,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,25-245,1995,21.5,1,8,5,62.5,0.37,0.23,0.13,0.20,17.0,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
415,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,29-015,1992,19.1,1,33,8,24.2,1.73,0.42,0.03,0.13,24.1,9,0,0,1.7,1.7,0.05,-0.7,-0.7,Matches
416,Shola Shoretire\Shola-Shoretire,eng ENG,FW,Manchester Utd,17-040,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
417,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,31-187,1989,16.7,4,24,7,29.2,1.44,0.42,0.08,0.29,20.3,3,2,2,3.6,2.1,0.09,+0.4,-0.1,Matches
418,Bernardo Silva\Bernardo-Silva,pt POR,MFFW,Manchester City,26-216,1994,19.1,2,25,13,52.0,1.31,0.68,0.08,0.15,14.5,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches
420,Thiago Silva\Thiago-Silva,br BRA,DF,Chelsea,36-173,1984,16.2,2,9,4,44.4,0.56,0.25,0.22,0.50,7.6,0,0,0,0.8,0.8,0.09,+1.2,+1.2,Matches
421,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,31-210,1989,15.8,0,2,1,50.0,0.13,0.06,0.00,0.00,11.0,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
422,Islam Slimani\Islam-Slimani,dz ALG,FW,Leicester City,32-269,1988,0.2,0,1,0,0.0,4.50,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
423,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,21-021,2000,1.9,0,1,1,100.0,0.52,0.52,0.00,0.00,19.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
424,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MFFW,Arsenal,20-229,2000,9.5,0,7,1,14.3,0.74,0.11,0.00,0.00,16.2,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches
425,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Brom,33-188,1987,5.8,0,4,1,25.0,0.68,0.17,0.00,0.00,17.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
426,Robert Snodgrass\Robert-Snodgrass,sco SCO,FWDF,West Ham,33-188,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
430,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25-346,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
431,Dale Stephens\Dale-Stephens,eng ENG,MF,Burnley,31-275,1989,2.9,0,4,0,0.0,1.38,0.00,0.00,,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
432,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,27-046,1994,12.1,0,4,1,25.0,0.33,0.08,0.00,0.00,7.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
433,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,26-096,1994,22.9,9,50,24,48.0,2.19,1.05,0.18,0.38,13.4,2,0,1,9.8,9.0,0.18,-0.8,0.0,Matches
434,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,30-248,1990,20.0,0,13,3,23.1,0.65,0.15,0.00,0.00,19.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
435,John Stones\John-Stones,eng ENG,DF,Manchester City,26-290,1994,18.0,4,10,4,40.0,0.56,0.22,0.40,1.00,10.1,0,0,0,1.8,1.8,0.18,+2.2,+2.2,Matches
436,Pascal Struijk\Pascal-Struijk,nl NED,DFMF,Leeds United,21-215,1999,15.8,1,9,3,33.3,0.57,0.19,0.11,0.33,7.4,0,0,0,1.8,1.8,0.20,-0.8,-0.8,Matches
437,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,21-348,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
438,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,25-177,1995,26.8,0,5,2,40.0,0.19,0.07,0.00,0.00,20.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
439,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,28-115,1992,27.0,0,14,5,35.7,0.52,0.19,0.00,0.00,8.2,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Matches
440,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,26-305,1994,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
441,Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,19-166,2001,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,22.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
442,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,27-177,1993,19.3,0,3,2,66.7,0.16,0.10,0.00,0.00,25.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
443,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,32-035,1989,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
444,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,19-083,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
445,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,21-252,1999,4.2,0,9,3,33.3,2.13,0.71,0.00,0.00,20.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
